TS-Bayes_cumregret_mean,TS-Bayes_cumregret_se,TS-Freq_cumregret_mean,TS-Freq_cumregret_se,TS-Improved_cumregret_mean,TS-Improved_cumregret_se,TS-Bayes_thinnesses_mean,TS-Bayes_thinnesses_se,TS-Freq_thinnesses_mean,TS-Freq_thinnesses_se,TS-Improved_thinnesses_mean,TS-Improved_thinnesses_se
0.0,0.0,0.0,0.0,0.0,0.0,1.0027894056973137,2.679029553982584e-09,1.0027894056973137,2.679029553982584e-09,1.0027894056973137,2.679029553982584e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0056022847309845,5.745878263165325e-09,1.0056022847309845,5.745878263165325e-09,1.0056022847309845,5.745878263165325e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0084389681792205,,1.0084389681792205,,1.0084389681792205,
0.0,0.0,0.0,0.0,0.0,0.0,1.0112997936948613,3.973642985026042e-09,1.0112997936948613,3.973642985026042e-09,1.0112997936948613,3.973642985026042e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0141851056742188,4.1503347386288126e-09,1.0141851056742188,4.1503347386288126e-09,1.0141851056742188,4.1503347386288126e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0170952554312154,,1.0170952554312154,,1.0170952554312154,
0.0,0.0,0.0,0.0,0.0,0.0,1.0200306013770695,1.1980984392872002e-09,1.0200306013770695,1.1980984392872002e-09,1.0200306013770695,1.1980984392872002e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.02299150920571,5.6195798014525375e-09,1.02299150920571,5.6195798014525375e-09,1.02299150920571,5.6195798014525375e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0259783520851515,8.125898967513165e-09,1.0259783520851515,8.125898967513165e-09,1.0259783520851515,8.125898967513165e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0289915108550514,7.48212235523281e-09,1.0289915108550514,7.48212235523281e-09,1.0289915108550514,7.48212235523281e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0320313742306706,7.088045954830207e-09,1.0320313742306706,7.088045954830207e-09,1.0320313742306706,7.088045954830207e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.03509833901353,3.788719929240514e-09,1.03509833901353,3.788719929240514e-09,1.03509833901353,3.788719929240514e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0381928103089717,8.213749077032605e-09,1.0381928103089717,8.213749077032605e-09,1.0381928103089717,8.213749077032605e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0413152017509335,4.482873875441283e-09,1.0413152017509335,4.482873875441283e-09,1.0413152017509335,4.482873875441283e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0444659357341848,7.947285970052083e-09,1.0444659357341848,7.947285970052083e-09,1.0444659357341848,7.947285970052083e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0476454436543647,6.986054364772896e-09,1.0476454436543647,6.986054364772896e-09,1.0476454436543647,6.986054364772896e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0508541661560864,5.222390021266706e-09,1.0508541661560864,5.222390021266706e-09,1.0508541661560864,5.222390021266706e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0540925533894623,,1.0540925533894623,,1.0540925533894623,
0.0,0.0,0.0,0.0,0.0,0.0,1.0573610652753598,8.471835309489984e-09,1.0573610652753598,8.471835309489984e-09,1.0573610652753598,8.471835309489984e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0606601717798196,5.745878263165325e-09,1.0606601717798196,5.745878263165325e-09,1.0606601717798196,5.745878263165325e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.063990353197865,,1.063990353197865,,1.063990353197865,
0.0,0.0,0.0,0.0,0.0,0.0,1.0673521004472277,8.300669477257625e-09,1.0673521004472277,8.300669477257625e-09,1.0673521004472277,8.300669477257625e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0707459153723737,4.792393757148801e-09,1.0707459153723737,4.792393757148801e-09,1.0707459153723737,4.792393757148801e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0741723110591477,7.947285970052083e-09,1.0741723110591477,7.947285970052083e-09,1.0741723110591477,7.947285970052083e-09
0.0,0.0,0.0,0.0,0.0,0.0,1.0776318121606474,5.08310118569399e-09,1.0776318121606474,5.08310118569399e-09,1.0776318121606474,5.08310118569399e-09
