TS-Bayes_cumregret_mean,TS-Bayes_cumregret_se,TS-Freq_cumregret_mean,TS-Freq_cumregret_se,TS-Improved_cumregret_mean,TS-Improved_cumregret_se,TS-Thinness_cumregret_mean,TS-Thinness_cumregret_se,TS-ThinnessDirected_cumregret_mean,TS-ThinnessDirected_cumregret_se,TS-Bayes_thinnesses_mean,TS-Bayes_thinnesses_se,TS-Freq_thinnesses_mean,TS-Freq_thinnesses_se,TS-Improved_thinnesses_mean,TS-Improved_thinnesses_se,TS-Thinness_thinnesses_mean,TS-Thinness_thinnesses_se,TS-ThinnessDirected_thinnesses_mean,TS-ThinnessDirected_thinnesses_se
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0084389681792214,0.0,1.0084389681792214,0.0,1.0084389681792214,0.0,1.0084389681792214,0.0,1.0084389681792214,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0170952554312154,6.837121661620193e-09,1.0170952554312154,6.837121661620193e-09,1.0170952554312154,6.837121661620193e-09,1.0170952554312154,6.837121661620193e-09,1.0170952554312154,6.837121661620193e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.025978352085154,4.324175418078969e-09,1.025978352085154,4.324175418078969e-09,1.025978352085154,4.324175418078969e-09,1.025978352085154,4.324175418078969e-09,1.025978352085154,4.324175418078969e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.035098339013531,6.837121661620193e-09,1.035098339013531,6.837121661620193e-09,1.035098339013531,6.837121661620193e-09,1.035098339013531,6.837121661620193e-09,1.035098339013531,6.837121661620193e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0444659357341872,,1.0444659357341872,,1.0444659357341872,,1.0444659357341872,,1.0444659357341872,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0540925533894596,3.0576537611638132e-09,1.0540925533894596,3.0576537611638132e-09,1.0540925533894596,3.0576537611638132e-09,1.0540925533894596,3.0576537611638132e-09,1.0540925533894596,3.0576537611638132e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0639903531978627,5.296011666289798e-09,1.0639903531978627,5.296011666289798e-09,1.0639903531978627,5.296011666289798e-09,1.0639903531978627,5.296011666289798e-09,1.0639903531978627,5.296011666289798e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0741723110591495,,1.0741723110591495,,1.0741723110591495,,1.0741723110591495,,1.0741723110591495,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0846522890932808,,1.0846522890932808,,1.0846522890932808,,1.0846522890932808,,1.0846522890932808,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095445115010332,3.0576537611638132e-09,1.095445115010332,3.0576537611638132e-09,1.095445115010332,3.0576537611638132e-09,1.095445115010332,3.0576537611638132e-09,1.095445115010332,3.0576537611638132e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1065666703449764,,1.1065666703449764,,1.1065666703449764,,1.1065666703449764,,1.1065666703449764,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1180339887498945,6.837121661620193e-09,1.1180339887498945,6.837121661620193e-09,1.1180339887498945,6.837121661620193e-09,1.1180339887498945,6.837121661620193e-09,1.1180339887498945,6.837121661620193e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1298653657320643,,1.1298653657320643,,1.1298653657320643,,1.1298653657320643,,1.1298653657320643,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1420804814403216,3.0576537611638132e-09,1.1420804814403216,3.0576537611638132e-09,1.1420804814403216,3.0576537611638132e-09,1.1420804814403216,3.0576537611638132e-09,1.1420804814403216,3.0576537611638132e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.154700538379252,,1.154700538379252,,1.154700538379252,,1.154700538379252,,1.154700538379252,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.167748416242284,8.089791447380735e-09,1.167748416242284,8.089791447380735e-09,1.167748416242284,8.089791447380735e-09,1.167748416242284,8.089791447380735e-09,1.167748416242284,8.089791447380735e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1812488464372362,5.296011666289798e-09,1.1812488464372362,5.296011666289798e-09,1.1812488464372362,5.296011666289798e-09,1.1812488464372362,5.296011666289798e-09,1.1812488464372362,5.296011666289798e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1952286093343933,3.0576537611638132e-09,1.1952286093343933,3.0576537611638132e-09,1.1952286093343933,3.0576537611638132e-09,1.1952286093343933,3.0576537611638132e-09,1.1952286093343933,3.0576537611638132e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2097167578182675,8.089791447380735e-09,1.2097167578182675,8.089791447380735e-09,1.2097167578182675,8.089791447380735e-09,1.2097167578182675,8.089791447380735e-09,1.2097167578182675,8.089791447380735e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2247448713915892,,1.2247448713915892,,1.2247448713915892,,1.2247448713915892,,1.2247448713915892,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.240347345892084,1.1024527418491452e-08,1.240347345892084,1.1024527418491452e-08,1.240347345892084,1.1024527418491452e-08,1.240347345892084,1.1024527418491452e-08,1.240347345892084,1.1024527418491452e-08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2565617248750867,,1.2565617248750867,,1.2565617248750867,,1.2565617248750867,,1.2565617248750867,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2734290799340262,7.489691524953166e-09,1.2734290799340262,7.489691524953166e-09,1.2734290799340262,7.489691524953166e-09,1.2734290799340262,7.489691524953166e-09,1.2734290799340262,7.489691524953166e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2909944487358056,6.1153075223276264e-09,1.2909944487358056,6.1153075223276264e-09,1.2909944487358056,6.1153075223276264e-09,1.2909944487358056,6.1153075223276264e-09,1.2909944487358056,6.1153075223276264e-09
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3093073414159544,0.0,1.3093073414159544,0.0,1.3093073414159544,0.0,1.3093073414159544,0.0,1.3093073414159544,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.328422328310143,,1.328422328310143,,1.328422328310143,,1.328422328310143,,1.328422328310143,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.348399724926484,,1.348399724926484,,1.348399724926484,,1.348399724926484,,1.348399724926484,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3693063937629153,,1.3693063937629153,,1.3693063937629153,,1.3693063937629153,,1.3693063937629153,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3912166872805047,0.0,1.3912166872805047,0.0,1.3912166872805047,0.0,1.3912166872805047,0.0,1.3912166872805047,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0056022847309867,,1.0056022847309867,,1.0056022847309867,,1.0056022847309867,,1.0056022847309867,
0.5787866155227126,0.21017693266127882,0.4951751851291216,0.1917633598824399,0.614433975604701,0.19795022252097136,0.25571344550822367,0.09983163082641569,0.2033096803950502,0.07725982703609845,1.0086062720611182,0.0009391694396349859,1.0098936952026032,0.0009845170826801503,1.0098936952026032,0.0009845170826801503,1.00903541310828,0.0009646257982363081,1.00903541310828,0.0009646257982363081
0.9365269814175774,0.32085127059178925,0.8768239200839189,0.20626228395565588,0.7584924777413471,0.18832412453024486,0.6576785005125589,0.166767470523195,0.5083979913399818,0.15053606576185044,1.0116437967794882,0.0014202265846011,1.0137895020152965,0.001174495911756999,1.0142298221918709,0.001261609501147146,1.012942399050386,0.0014463914125799548,1.0116102593912495,0.0009023248108893915
1.780881487402278,0.4325399515058762,1.5472904733429218,0.28880372689924727,1.2015060685317969,0.2817622011591245,1.3156046507258599,0.3058828814879411,0.915410962991657,0.1767467265723336,1.016454769224091,0.001789129549715328,1.018611653589312,0.001367295190914383,1.0186451909775507,0.001745747102162177,1.016420243945331,0.001396894609943061,1.0159911028981692,0.001495474477780104
2.220928438628474,0.4997094744961954,1.8116323882888927,0.29640891445120293,1.6181159417388487,0.3509002200719342,2.049888769408639,0.36548933659171196,1.5771424744600795,0.2802209766987323,1.0208823361345356,0.0020196647845368352,1.0239899304057778,0.0019492047074411727,1.022621227477177,0.0016467208156386967,1.0204069656291095,0.0017045559234033767,1.0204414909078694,0.002034869083630957
